,,0
params,Human Stereotype Score,8.707165694312706e-05
params,const,0.005407525252143414
params,counts,-8.28038414062235e-06
params,_f_test,11.429818213100125
pvals,Human Stereotype Score,0.00019033989509527742
pvals,const,0.07223538128215504
pvals,counts,0.002934637801734644
pvals,_f_test,2.3426536862427014e-05
std,Human Stereotype Score,2.2774006233042043e-05
std,const,0.002987608923104142
std,counts,2.739629406342327e-06
statistics,adj_r2,0.11728145207839547
statistics,r2,0.1285262743449127
